Company Name,Industry,State,Company Type,Founded Year,Years in Business,Founder Name,Founder Led,Family Owned,Founder Age Estimate,Seller Readiness Score,Evidence Summary,Evidence Sources,Extraction Confidence,Ownership Status
Activus Connect,Outsourcing and Offshoring Consulting,FL,Unknown,2018,8,Minerva Serrano,Yes,Unknown,Unknown,15,Founded in 2018 by Minerva Serrano | Minerva Serrano currently serves as President & CFO,https://activusconnect.com;https://activusconnect.com/lets-connect;https://theapplicantmanager.com/careers?co=av;https://www.greatplacetowork.com/certified-company/7022025;https://www.linkedin.com/company/activusconnect;https://www.linkedin.com/in/minervaserrano;https://www.mahindra.com/news-room/press-release/en/tech-mahindra-acquires-100-percent-stake-in-activus-connect-a-leading-provider-of-work-at-home-customer-experience-management-solutions;https://www.techmahindra.com/insights/press-releases/tech-mahindra-acquires-100-stake-activus-connect-leading-provider-wfh-customer-experience,High,Unknown
Air Pros USA,HVAC / Electrical / Plumbing Services,FL,Private,2017,9,Anthony Perera,No,Unknown,Unknown,0,Founded in 2017 by Anthony Perera | Anthony Perera stepped down as CEO in March 2022 and is no longer in a qualifying leadership role | Company explicitly described as private | PE Sponsor is Peak Rock Capital (invested September 2021),https://airprosusa.com/contact-us;https://elevenflo.com/blog/air-pros-usa-bankruptcy;https://hvacinsider.com/air-pros-usa-expands-operations-in-texas-to-address-the-growing-demand-for-indoor-air-quality;https://hvacinsider.com/air-pros-usa-founder-reacquires-florida-operations-with-exuma-capital-partners;https://www.achrnews.com/articles/146551-air-pros-usa-welcomes-robert-dipietro-as-president;https://www.achrnews.com/articles/163812-air-pros-founder-steps-aside-to-focus-on-investment-firm;https://www.inspected.com/blog/anthony-perera-5-things-i-wish-someone-told-me-before-i-began-leading-my-company;https://www.linkedin.com/posts/anthonyperera_air-pros-usa-founder-anthony-perera-reacquires-activity-7335727755386380289-HVwZ;https://www.prnewswire.com/news-releases/air-pros-usa-founder-reacquires-florida-operations-with-exuma-capital-partners-302471382.html;https://www.prnewswire.com/news-releases/air-pros-usa-welcomes-robert-dipietro-as-president-301546810.html,High,PE Backed
Aladdin General Store,Retail,Wyoming,Unknown,1896,130,Amos Robinson,Unknown,Unknown,Unknown,35,"Aladdin General Store was built in 1896 by Amos Robinson. | The store has continued to serve as a post office, bar, freight station, and gas station.",https://en.wikipedia.org/wiki/Wyoming_Mercantile;https://historicaladdin.com;https://myemail.constantcontact.com/123-year-old-Aladdin-General-Store-under-new-ownership.html?soid=1130803003989&aid=JbY5w2p9qhU;https://www.devilstowercountry.com/aladdin;https://www.linkedin.com/in/aladdin-chapel-9a210b14a;https://www.tripadvisor.com/Attraction_Review-g30350-d6774219-Reviews-Aladdin_General_Store-Aladdin_Wyoming.html,Medium,Unknown
Alaska Flour Company,Food and Beverage Manufacturing,Alaska,Unknown,2011,15,Bryce and Jan Wrigley,Yes,Yes,Unknown,50,"Founded in 2011 by Bryce and Jan Wrigley | Bryce Wrigley is described as the president of Alaska Farm Bureau, indicating a leadership role | Company explicitly described as family-owned",https://alaskaflour.com;https://alaskaflour.com/pages/about-us;https://alaskaflour.com/pages/locations;https://en.wikipedia.org/wiki/Alaska_Flour_Company;https://www.linkedin.com/company/alaskaflourcompany,High,Family Owned
Albert Wooster & Co.,Real Estate,FL,Unknown,Unknown,0,Albert Wooster,Yes,Unknown,Unknown,15,Albert Wooster is the Broker Owner & Realtor at Albert Wooster & Company since Nov 2015. | Albert Wooster is facilitating residential and commercial real estate sales.,https://www.fastexpert.com/real-estate-company/albert-wooster-co-77965;https://www.illinoisrealtors.org/about/illinois-realtors-history;https://www.linkedin.com/in/albert-hall-wooster-2411409;https://www.metrolibrary.org/archives/essay/2019/07/building-city-plains-land-and-real-estate-developers;https://www.sarasotawowhomes.com;https://www.sarasotawowhomes.com/contact.php,Medium,Founder Owned
"All Electric Supply, LLC",Electrical Contractors and Other Wiring Installation Contractors,FL,Unknown,1967,59,Unknown,Unknown,Unknown,Unknown,35,"ALL FLORIDA ELECTRIC CO INC was founded in August 1967. | The company is headquartered in Gainesville, FL. | The primary registered NAICS is 238210 Electrical Contractors and Other Wiring Installation Contractors.",https://buildsteel.org/news/ad-names-2025-llc-board-of-directors-after-vote-some-are-new-to-the-ad-board;https://seamless.ai/b/electric-supply-7241101;https://www.adhq.com/about/leadership;https://www.caldergr.com/tombstone/wholesale-electric-supply-acquired-by-consolidated-electrical-distributors;https://www.highergov.com/awardee/all-florida-electric-co-inc-10065195;https://www.linkedin.com/company/world-electric-supply;https://www.linkedin.com/in/michael-volpe-8768403a;https://www.linkedin.com/in/steve-harmon-04aa7031;https://www.mainelectricsupply.com/about/our-history;https://www.servicetitan.com/blog/top-electrical-distributors,Medium,Unknown
All Stat Home Health,Home Health Care,FL,Unknown,1998,28,Gregory Solometo,Unknown,Unknown,Unknown,20,Founded by Gregory Solometo | All Stat Home Health has provided service for over 25 years,https://quality.healthfinder.fl.gov/Facility-Provider/Profile?LID=7040;https://thecarpenterhealthnetwork.com/about-us/stat-home-health;https://thecarpenterhealthnetwork.com/leadership-team;https://www.alliancehomecare.com/about-us/our-story;https://www.allstathomehealth.com;https://www.allstathomehealth.com/home-health-care-employment;https://www.allstathomehealth.com/senior-assisted-care;https://www.linkedin.com/in/carmen-r-scoma-36234252,Medium,Unknown
"Allard PPC, Inc.",Business Consulting and Services,FL,Private,1994,32,Deanna Allard,Yes,Unknown,Unknown,45,Founded in 1994 by Deanna Allard | Deanna Allard currently serves as President and Co-Founder | Company explicitly described as private,https://link-worldwide.com/link-appoints-jonathan-allard-as-group-chief-financial-officer-to-strengthen-financial-leadership-and-support-global-growth-aspirations;https://system.privco.com/company/allard-ppc;https://www.linkedin.com/company/allard-ppc-inc;https://www.linkedin.com/in/deannaallard,High,Founder Owned
Allied Universal,Water Treatment Chemical and Swimming Pool Industry,FL,Private,1954,72,Leon Namoff,No,Unknown,Unknown,35,"Founded in 1954 by Leon Namoff | Current leadership is under Bob Namoff, Leon's son",https://en.wikipedia.org/wiki/Allied_Universal;https://jobs.aus.com/location/florida-jobs/22950/6252001-4155751/3;https://www.aus.com;https://www.aus.com/about-us;https://www.aus.com/our-people;https://www.aus.com/security-resources/strategic-planning-opportunities-leadership-and-organizational-success;https://www.aus.uk.com/offices-old;https://www.forbes.com/companies/allied-universal;https://www.linkedin.com/company/allied-universal;https://www.linkedin.com/company/allieduniversal;https://www.linkedin.com/posts/allied-universal_steve-jones-allied-universal-ceo-and-global-activity-7192583938609934336-Xz_J;https://www.youtube.com/watch?v=JnviwzHylf0,Medium,Unknown
Altrius,Insurance,FL,Unknown,2020,6,Unknown,Unknown,Unknown,Unknown,0,Company operates in the insurance industry. | Founded in 2020.,https://altius-recruitment.com/founder;https://altius.us/our-leadership;https://altrius-capital.com/our-promises;https://altriuswealthadvisors.com/contact;https://altriuswealthadvisors.com/welcome;https://search.sunbiz.org/Inquiry/corporationsearch/SearchResultDetail?inquirytype=EntityName&directionType=Initial&searchNameOrder=ALTIUSMANAGEMENT+L210004410310&aggregateId=flal-l21000441031-8217fb1e-d97a-4e84-8f83-d06e03806774&searchTerm=ALTIUS%2C+LLC&listNameOrder=ALTIUS+L210000786030;https://www.altiusco.com;https://www.altiussportspartners.com;https://www.altriusgroup.com/about-us;https://www.atriushealth.org/about-us/leadership;https://www.importinfo.com/altius-usa-corp;https://www.linkedin.com/company/altruis-group,Medium,Unknown
America's 1st Choice Holdings of Florida Inc.,Health Insurance,FL,Private,2008,18,Unknown,No,Unknown,Unknown,10,"Founded in 2008 | America’s 1st Choice is a privately-held for-profit Medicare Advantage organization | Acquired by Anthem, Inc. on February 15, 2018, and operates as a wholly-owned subsidiary",https://floir.gov/docs-sf/life-health-libraries/financial-examination-reports/2019/freedomhealth12312019.pdf;https://floir.gov/docs-sf/life-health-libraries/financial-examination-reports/2019/optimumhc12312019.pdf;https://www.elevancehealth.com/newsroom/anthem-completes-acquisition-of-america-s-1st-choice;https://www.elevancehealth.com/newsroom/anthem-to-acquire-america-s-1st-choice;https://www.linkedin.com/in/christine-simpson-99665423,High,Corporate Owned
American Air Filters,Renewables & Environment,Kentucky,Unknown,1929,97,Bill Reed,Unknown,Unknown,Unknown,35,"Founded in 1921 by Bill Reed who established the Reed Air Filter Company. | In 1929, Reed Air Filter Company merged with seven leading air filter manufacturers to form American Air Filter Company Inc. | AAF International is part of the Daikin Group, indicating corporate ownership.",https://aafasia.com;https://aafasia.com/about-aaf;https://aafeurope.co.uk/about-us/aaf-history;https://aps.autodesk.com/customer-stories/american-air-filter;https://www.aafintl.com/home/corporate/message-from-leadership;https://www.aafintl.com/home/impact/environmental-social-and-governance;https://www.aafintl.com/us/about;https://www.aafintl.com/us/contact/americas-locations;https://www.ampliz.com/company/aaf-international/82063710;https://www.linkedin.com/company/american-air-filter,Medium,Corporate Owned
"American Metering Services, Inc.",Utility Metering,FL,Unknown,2008,18,Chad Davis,Yes,Unknown,Unknown,25,Founded in 2008 as a field installation company by President Chad Davis and COO Danicia Shaffer | Chad Davis currently serves as President,https://exa.ai/websets/directory/meter-executives;https://ir.muellerwaterproducts.com/press-releases/2012/05-07-2012;https://www.ametsoc.org/ams/about-ams/ams-commissions-boards-and-committees/ams-leadership;https://www.amppartners.org/about/leadership;https://www.amsbilling.com;https://www.amsbilling.com/contactus;https://www.frwa.net/associate-members/national-metering-services-inc;https://www.metergysolutions.com/leadership-team;https://www.msiaz.net/about;https://www.umswater.com/about-ums/about-us,High,Unknown
American Strategic Insurance Group,Homeowners Insurance,FL,Private,1997,29,John Auer,No,Unknown,Unknown,20,"Founded in 1997 by John Auer | John Auer served as CEO and President until April 2018 | Company acquired by Progressive in April 2015, which holds a controlling interest",https://en.wikipedia.org/wiki/American_Strategic_Insurance;https://floir.gov/docs-sf/property-casualty-libraries/financial-examination-reports/2017/americanstrategic12312017.pdf;https://floridainsuranceagency.net/american-strategic-insurance;https://progressive.mediaroom.com/news-releases?item=122454;https://ratings.ambest.com/CompanyProfile.aspx?BL=0&ambnum=12150&AltNum=189712150&AltSrc=3;https://stpetecatalyst.com/organizations/american-strategic-insurance;https://www.insuredbetter.com/insurance-articles/reviews/carrier-reviews-american-strategic-insurance-asi,High,Corporate Owned
